year,month,hour,city,state,make,model,model_year,vin,mileage_category,weather,roadway_type,roadway_surface,lighting,sv_pre_crash_movement,cp_pre_crash_movement,collision_category,highest_injury_severity_alleged
2025,3,15,Charlotte,NC,Tesla,Model 3,2025,5YJ3E1EA2SF,Low,Cloudy,Highway / Freeway,Dry,Daylight,Proceeding Straight,Changing Lanes,SV Rear-Ended By CP,Unknown
2025,3,5,Los Altos,CA,Tesla,Model 3,2024,5YJ3E1EA8RF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,14,Jackson,MS,Tesla,Model Y,2025,7SAYGDED8SA,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,21,Dinuba,CA,Tesla,Model Y,2022,7SAYGAEE4NF,High Medium,Cloudy,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Stopped,CP Rear-Ended By SV,Unknown
2025,3,18,Salt Lake City,UT,Tesla,Model Y,2021,5YJYGDEEXMF,High Medium,Cloudy,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,3,4,Los Angeles,CA,Tesla,Model Y,2022,7SAYGDEE2NF,Low,Clear,Street,Dry,Dark - Lighted,"Other, see Narrative",Parked,Head-On Collision,No Injuries Reported
2025,2,21,Mountain View,CA,Toyota,Prius,2022,JTDKAMFU8N3,Low Medium,Clear,Street,Dry,Dark - Unknown Lighting,Proceeding Straight,Unknown,Other / Unknown,No Injuries Reported
2025,3,0,Murfreesboro,TN,Rivian,R1T,2022,7FCTGAAL4NN,Low,Unknown,Highway / Freeway,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,3,22,Discovery Bay,CA,Mercedes-Benz,GLS 450,2025,4JGFF5KE5SB,Low,Clear,Street,Unknown,Dark - Unknown Lighting,"Other, see Narrative",Unknown,Other / Unknown,Minor
2025,3,16,Phoenix,AZ,Tesla,Model X,2017,5YJXCBE44HF,High,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Changing Lanes,Head-On Collision,Unknown
2025,3,5,Lansing,IL,Tesla,Model 3,2022,5YJ3E1EA1NF,High Medium,Clear,Highway / Freeway,Dry,Dark - Lighted,Unknown,Unknown,Other / Unknown,Unknown
2025,3,21,Marysville,CA,Tesla,Model Y,2022,7SAYGDEE5NF,High Medium,Unknown,Unknown,Unknown,Unknown,"Other, see Narrative","Other, see Narrative",Other / Unknown,Serious
2025,3,18,Deer Park,WA,GMC,Sierra,2024,1GTUUHE86RZ,Low,Cloudy,Highway / Freeway,Dry,Dawn / Dusk,Proceeding Straight,Proceeding Straight,Side-Impact SV Right,Unknown
2025,3,7,San Diego,CA,Tesla,Model Y,2023,7SAYGDEF4PF,Low,Cloudy,Highway / Freeway,Dry,Dark - Lighted,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,3,14,Burlington,NC,Tesla,Model Y,2023,7SAYGDEF2PF,Low Medium,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,3,19,Stevenson Ranch,CA,Tesla,Model Y,2024,7SAYGDEEXRF,Low,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,3,21,San Diego,CA,Tesla,Model 3,2023,5YJ3E1EBXPF,Low,Clear,Intersection,Dry,Daylight,Proceeding Straight,Proceeding Straight,SV Rear-Ended By CP,Unknown
2025,3,7,Carpentersville,IL,Tesla,Model 3,2018,5YJ3E1EAXJF,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,2,18,Addison,IL,Tesla,Model S,2022,5YJSA1E54NF,Low,Cloudy,Highway / Freeway,Dry,Daylight,Proceeding Straight,Lane / Road Departure,CP Rear-Ended By SV,Unknown
2025,2,16,Windsor Locks,CT,Tesla,Model S,2022,7SAYGDEF2PF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,2,3,Sonoma,CA,Tesla,Model Y,2023,7SAYGDEE1PF,High Medium,Clear,Intersection,Dry,Dark - Lighted,Proceeding Straight,Making Left Turn,SV Rear-Ended By CP,Unknown
